code;intitule;type;methode;categorie
AFE;AUTRES FOURNITURES D'EXPLOITATION;D;CMUP;Exploitation
AMB;AUTRES MATERIELS DE BUREAU;T;CMUP;Matériel Bureau
FHS;FOURNITURES D'HYGIENE ET DE SOINS;D;CMUP;Hygiène
FOB;FOURNITURES DE BUREAU;D;CMUP;Bureau
FOH;FOURNITURES HÔTELIERES;D;CMUP;Hôtelier
FOI;FOURNITURES INFORMATIQUES;T;CMUP;Informatique
HHP;HABILLEMENT HORS PERSONNEL;D;CMUP;Habillement Patient
HLO;HABILLEMENT ET LINGE OPERATOIRE;D;CMUP;Habillement Personnel
IMM;IMPRIMES MEDICAUX;D;CMUP;Imprimés Médicaux
INM;IMPRIMES NON MEDICAUX;D;CMUP;Imprimés Administratifs
MCE;MACHINES COMPTABLES ET EQUIPEMENTS;T;CMUP;Matériel Comptable
MMB;MOBILIER ET MATERIEL DE BUREAU;T;CMUP;Mobilier
POP;PETITS OUTILLAGES & PIECES DE RECHANGE;D;CMUP;Outillage
PRA;PRODUITS ALIMENTAIRES;D;CMUP;Alimentation
PRE;PRODUITS D'ENTRETIEN;D;CMUP;Entretien
