code;raison_sociale;telephone
401BUR;BUROMAT;0759861067
401EDI;EDJEHOU DANHI IMPRIM;0787027003
401EFB;ETS F.B.;0758613881
401EFT;E.F.T.P.;0707369416
401ENA;ENAC-CI;0564839550
401ESO;ETS SOUFA;0707888143
401EUR;EURO-TEL HOLDING;0778411641
401FAD;FADIKCIS;0707085438
401FAP;FAM ACTIV PLUS;0102486028
401ICS;IVOIRE CARTES SYSTEM;
401IG2;INGENIERIE GENIE CIVIL;0700024196
401IGM;IMPRIMERIE GRANDE MA;
401KAD;KADY IMPRIM;0787313569
401KAM;KAMI SERVICES;0707609491
401KER;KERSI SARL;2735962417
401KOG;KOUMBA GROUP;0710073423
401LIM;LIMA ENTREPRISE;0504372662
401MAB;MAB CONSULTING;0701644810
401MAI;MAISSA PRESTIGE & SERVICES;0707464625
401MMD;MMD HOLDING BUSINESS;0749871100
401NAM;NAMA-CO Sarl;
401PIP;PIPAD - DEMBELE SIAKA;0787478175
401PRO;PROMOVET;0103124760
401SAL;SANGARE LAMINE;0749514923
401SOS;SOSEK;0544870051
