code;nom;poste_telephone
411AGC;AGENCE COMPTABLE;106
411ANE;ANESTHESIE & REANIMATION;144
411BME;BIOLOGIE MEDICALE;136
411COB;CONTRÔLE BUDGETAIRE;107
411DAF;DIRECTION DES AFFAIRES FINANCIERES;103
411DGL;DIRECTION GENERALE;121
411DMS;DIRECTION MEDICALE ET SOINS;102
411DRH;DIRECTION DES RESSOURCES HUMAINES;104
411DSI;DIRECTION SOINS INFIRMIERS;359
411DTE;DIRECTION TECHNIQUE;105
411GYO;GYNECOLOGIE OBSTETRICALE;142
411IME;IMAGERIE MEDICALE;127
411MIG;MEDECINE INTERNE & GERIATRIE;130
411MPR;MEDECINE PHYSIQUE & READAPTATION;147
411MTP;MEDECINE TRAVAIL & PATHOLOGIE PROFESSIONNELLE;191
411OTC;ORTHO-TRAUMATO-CHIRURGIE PLASTIQUE;194
411PHA;PHARMACIE;156
411PMS;PEDIATRIE MEDICALE & SPECIALITES;146
